ClientIP 127.0.0.1 :30060,Response {"Data":null,"Message":"PLC未连接","ResultType":1,"Success":false},at 2023/1/4 9:50:15 , IPlcServer.GetAlarmInformation is called , duration: 0.4975 

ClientIP 127.0.0.1 :30060,Response {"Data":null,"Message":"PLC未连接","ResultType":1,"Success":false},at 2023/1/4 9:50:18 , IPlcServer.GetPlcDeivceStatus is called , duration: 0.1955 

ClientIP 127.0.0.1 :30060,Response {"Data":null,"Message":"PLC未连接","ResultType":1,"Success":false},at 2023/1/4 9:50:18 , IPlcServer.GetAlarmInformation is called , duration: 1.2408 

ClientIP 127.0.0.1 :30060,Response {"Data":null,"Message":"PLC未连接","ResultType":1,"Success":false},at 2023/1/4 9:50:21 , IPlcServer.GetPlcDeivceStatus is called , duration: 0 

ClientIP 127.0.0.1 :30060,Response {"Data":null,"Message":"PLC未连接","ResultType":1,"Success":false},at 2023/1/4 9:50:21 , IPlcServer.GetAlarmInformation is called , duration: 0 

ClientIP 127.0.0.1 :30060,Response {"Data":null,"Message":"PLC未连接","ResultType":1,"Success":false},at 2023/1/4 9:50:24 , IPlcServer.GetPlcDeivceStatus is called , duration: 1.0035 

ClientIP 127.0.0.1 :30060,Response {"Data":null,"Message":"PLC未连接","ResultType":1,"Success":false},at 2023/1/4 9:50:24 , IPlcServer.GetAlarmInformation is called , duration: 1.0036 

ClientIP 127.0.0.1 :30060,Response {"Data":null,"Message":"PLC未连接","ResultType":1,"Success":false},at 2023/1/4 9:50:27 , IPlcServer.GetPlcDeivceStatus is called , duration: 0.9963 

ClientIP 127.0.0.1 :30060,Response {"Data":null,"Message":"PLC未连接","ResultType":1,"Success":false},at 2023/1/4 9:50:27 , IPlcServer.GetAlarmInformation is called , duration: 0 

ClientIP 127.0.0.1 :30060,Response {"Data":null,"Message":"PLC未连接","ResultType":1,"Success":false},at 2023/1/4 9:50:30 , IPlcServer.GetPlcDeivceStatus is called , duration: 0 

ClientIP 127.0.0.1 :30060,Response {"Data":null,"Message":"PLC未连接","ResultType":1,"Success":false},at 2023/1/4 9:50:30 , IPlcServer.GetAlarmInformation is called , duration: 0 

ClientIP 127.0.0.1 :30060,Response {"Data":null,"Message":"PLC未连接","ResultType":1,"Success":false},at 2023/1/4 9:50:33 , IPlcServer.GetPlcDeivceStatus is called , duration: 0 

